# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Dec  6 23:03:15 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
HD 81817 b,HD 81817,1,1,Radial Velocity,2020,3.3,0.1,-0.1,0,27.1,2.1,-2.1,0,Msini,K3 III,4140,55,-55,0,83.8,7.8,-7.8,0,4.3,0.5,-0.5,0
HD 82886 b,HD 82886,1,1,Radial Velocity,2011,1.58,0.08,-0.08,0,2.33,0.33,-0.33,0,Msini,G0,4953,123,-123,0,5.26,0.31,-0.31,0,2.53,0.46,-0.46,0
HD 82943 b,HD 82943,1,2,Radial Velocity,2003,1.18306,0.00062,-0.00062,0,1.681,0.028,-0.028,0,Mass,G2/3V,5935,124.44,-144.14,0,1.18,0.07,-0.05,0,1.08,0.12,-0.15,0
HD 82943 c,HD 82943,1,2,Radial Velocity,2003,0.74345,0.00012,-0.00012,0,1.959,0.047,-0.047,0,Mass,G2/3V,5935,124.44,-144.14,0,1.18,0.07,-0.05,0,1.08,0.12,-0.15,0
HD 8326 b,HD 8326,1,1,Radial Velocity,2019,0.533,0.011,-0.011,0,0.20955,0.06167,-0.06167,0,Msini,K2 V,4914,51,-32,0,0.78,0.01,-0.02,0,0.8,0.05,-0.05,0
HD 83443 b,HD 83443,1,1,Radial Velocity,2002,0.04,0,0,0,0.34,0.02,-0.02,0,Msini,K0/1 V + G (III),5442,17,-17,0,0.94,0.02,-0.02,0,0.79,0.07,-0.07,0
HD 8535 b,HD 8535,2,1,Radial Velocity,2010,2.45,0.04,-0.06,0,0.68,0.07,-0.04,0,Msini,G0 V,6136,18,-18,0,1.19,0.04,-0.04,0,1.13,,,0
HD 85390 b,HD 85390,1,1,Radial Velocity,2009,1.373,0.035,-0.035,0,0.099,0.01,-0.01,0,Msini,K1.5 V,5186,,,0,0.8,0.01,-0.01,0,0.76,,,0
HD 85512 b,HD 85512,1,1,Radial Velocity,2011,0.26,0,0,0,0.011,0.002,-0.002,0,Msin(i)/sin(i),K5 V,4300,45,-45,0,0.71,0.02,-0.02,0,0.43,0.1,-0.1,0
HD 8574 b,HD 8574,1,1,Radial Velocity,2002,0.76,0.01,-0.01,0,2.03,0.14,-0.14,0,Msini,F8,6064,14,-14,0,1.38,0.02,-0.02,0,1.34,0.12,-0.12,0
HD 86081 b,HD 86081,2,1,Radial Velocity,2006,0.0346,0.0027,-0.0027,0,1.48,0.23,-0.23,0,Msini,F8,5939,,,0,1.46,0.14,-0.14,0,1.21,0.28,-0.28,0
HD 86226 b,HD 86226,1,2,Radial Velocity,2009,2.73,0.06,-0.06,0,0.45,0.04,-0.05,0,Mass,G1 V,5863,88,-88,0,1.05,0.03,-0.03,0,1.02,0.06,-0.07,0
HD 86226 c,HD 86226,1,2,Transit,2020,0.049,0.001,-0.001,0,0.02281,0.00374,-0.00352,0,Mass,G1 V,5863,88,-88,0,1.05,0.03,-0.03,0,1.02,0.06,-0.07,0
HD 86264 b,HD 86264,1,1,Radial Velocity,2009,2.86,0.07,-0.07,0,7,1.6,-1.6,0,Msini,F7 V,6210,44,-44,0,1.88,0.12,-0.12,0,1.42,0.05,-0.05,0
HD 8673 b,HD 8673,2,1,Radial Velocity,2009,3.02,0.15,-0.15,0,14.2,1.6,-1.6,0,Msini,F5,6389.05,157.03,-119.46,0,1.5,0.06,-0.08,0,1.28,0.25,-0.15,0
HD 86950 b,HD 86950,1,1,Radial Velocity,2016,2.72,0.08,-0.08,0,3.6,0.7,-0.7,0,Msini,K1 III,4805,100,-100,0,8.8,0.6,-0.6,0,1.66,0.25,-0.25,0
HD 87646 b,HD 87646,3,1,Radial Velocity,2016,0.117,0.003,-0.003,0,12.4,0.7,-0.7,0,Msini,G,5770,80,-80,0,1.55,0.22,-0.22,0,1.12,0.09,-0.09,0
HD 87883 b,HD 87883,1,1,Radial Velocity,2009,3.58,0.1,-0.1,0,1.54,0.26,-0.26,0,Msini,K0,4915,73,-73,0,0.79,0.03,-0.03,0,0.66,0.09,-0.09,0
HD 88133 b,HD 88133,1,1,Radial Velocity,2004,0.0479,0.0033,-0.0033,0,1.02,0.61,-0.28,0,Mass,G5,5392,,,0,2.2,,,0,1.26,,,0
HD 89307 b,HD 89307,1,1,Radial Velocity,2009,3.27,0.07,-0.07,0,2.11,0.21,-0.21,0,Msini,G0,5955,14,-14,0,1.1,0.01,-0.01,0,1.27,0.12,-0.12,0
HD 89345 b,HD 89345,1,1,Transit,2018,0.1066,0.0012,-0.0014,0,0.11,0.017,-0.018,0,Mass,G5,5576,73,-76,0,1.75,0.05,-0.05,0,1.16,0.04,-0.04,0
HD 89744 b,HD 89744,2,1,Radial Velocity,1999,0.917,0.009,-0.009,0,8.35,0.18,-0.18,0,Msini,F7 V,6291,,,0,2.13,0.1,-0.11,0,1.86,,,0
HD 90156 b,HD 90156,1,1,Radial Velocity,2009,0.25,0.004,-0.004,0,0.057,0.005,-0.005,0,Msini,G5V,5599,12,-12,0,0.92,0.02,-0.02,0,0.84,,,0
HD 9174 b,HD 9174,1,1,Radial Velocity,2016,2.2,0.09,-0.09,0,1.11,0.14,-0.14,0,Msini,G8 IV,5577,100,-100,0,1.67,0.07,-0.07,0,1.03,0.05,-0.05,0
HD 92788 b,HD 92788,1,2,Radial Velocity,2000,0.97,0.02,-0.02,0,3.76,0.16,-0.15,0,Msini,G6 V,5744,24,-24,0,1.14,0.02,-0.02,0,1.15,0.07,-0.07,0
HD 92788 c,HD 92788,1,2,Radial Velocity,2019,10.5,2.9,-0.55,0,3.67,0.3,-0.25,0,Msini,G6 V,5744,24,-24,0,1.14,0.02,-0.02,0,1.15,0.07,-0.07,0
HD 92987 b,HD 92987,1,1,Radial Velocity,2019,9.62,0.36,-0.26,0,16.88,0.69,-0.65,0,Msini,G2/G3 V,5770,36,-36,0,1.58,0.04,-0.04,0,1.08,0.06,-0.06,0
HD 93083 b,HD 93083,1,1,Radial Velocity,2005,0.477,,,0,0.37,,,0,Msini,K3 V,4995,50,-50,0,0.85,0.02,-0.02,0,0.7,0.04,-0.04,0
HD 93385 b,HD 93385,1,3,Radial Velocity,2021,0.0756,0.0013,-0.0013,0,0.01321,0.00157,-0.00157,0,Msini,G2/G3 V,5977,18,-18,0,1.18,0.07,-0.06,0,1.04,0.01,-0.01,0
HD 93385 c,HD 93385,1,3,Radial Velocity,2021,0.112,0.002,-0.002,0,0.02234,0.00189,-0.00189,0,Msini,G2/G3 V,5977,18,-18,0,1.18,0.07,-0.06,0,1.04,0.01,-0.01,0
HD 93385 d,HD 93385,1,3,Radial Velocity,2021,0.2565,0.0043,-0.0043,0,0.02737,0.00283,-0.00283,0,Msini,G2/G3 V,5977,18,-18,0,1.18,0.07,-0.06,0,1.04,0.01,-0.01,0
HD 9446 b,HD 9446,1,2,Radial Velocity,2009,0.189,0.006,-0.006,0,0.7,0.06,-0.06,0,Msini,G5 V,5793,22,-22,0,1,,,0,1,0.1,-0.1,0
HD 9446 c,HD 9446,1,2,Radial Velocity,2009,0.654,0.022,-0.022,0,1.82,0.17,-0.17,0,Msini,G5 V,5793,22,-22,0,1,,,0,1,0.1,-0.1,0
HD 94834 b,HD 94834,1,1,Radial Velocity,2018,2.74,0.18,-0.18,0,1.26,0.17,-0.17,0,Msini,K0,4798,,,0,4.2,,,0,1.11,,,0
HD 95086 b,HD 95086,1,1,Imaging,2013,55.7,2.5,-2.5,0,5,2,-2,0,Mass,A8 III,7595,96.18,-156.92,0,1.49,0.06,-0.04,0,1.6,,,0
HD 95089 b,HD 95089,1,2,Radial Velocity,2009,1.36,0.13,-0.13,0,1.26,0.085,-0.085,0,Msini,G8/K0 IV,4918,,,0,5.08,,,0,1.54,,,0
HD 95089 c,HD 95089,1,2,Radial Velocity,2018,3.33,0.31,-0.31,0,3.45,0.14,-0.14,0,Msini,G8/K0 IV,4918,,,0,5.08,,,0,1.54,,,0
HD 95127 b,HD 95127,1,1,Radial Velocity,2015,1.28,0.08,-0.08,0,10.63,8.06,-8.06,0,Msini,K0,4218,30,-30,0,41.01,18.22,-18.22,0,3.7,4.16,-4.16,0
HD 95338 b,HD 95338,1,1,Radial Velocity,2020,0.262,0.002,-0.002,0,0.13353,0.00698,-0.00654,0,Mass,K0.5 V,5212,16,-11,0,0.87,0.04,-0.04,0,0.83,0.02,-0.02,0
HD 95544 b,HD 95544,1,1,Radial Velocity,2021,3.386,0.075,-0.077,0,6.84,0.31,-0.31,0,Msini,G3 V,5722,15,-15,0,1.09,0.07,-0.07,0,1.09,0.07,-0.07,0
HD 95735 c,GJ 411,1,2,Radial Velocity,2021,3.1,0.13,-0.11,0,0.0568,0.0091,-0.0083,0,Msini,M1.5 V,3719.95,28.3,-28.3,0,0.37,0.01,-0.01,0,0.39,0.01,-0.01,0
HD 95872 b,HD 95872,1,1,Radial Velocity,2015,5.15,0.16,-0.16,0,3.74,0.93,-0.93,0,Msini,K0 V,5312,100,-100,0,0.84,0.04,-0.04,0,0.7,0.25,-0.25,0
HD 96063 b,HD 96063,1,1,Radial Velocity,2011,1.11,0.14,-0.14,0,1.27,0.27,-0.27,0,Msini,G6 V,5020,,,0,4.75,,,0,1.37,,,0
HD 96127 b,HD 96127,1,1,Radial Velocity,2011,1.42,0.13,-0.13,0,20.96,12.99,-12.99,0,Msini,K2 III,3943,23,-23,0,51.1,22.81,-22.81,0,10.94,10.02,-10.02,0
HD 96167 b,HD 96167,2,1,Radial Velocity,2009,1.332,0.098,-0.098,0,0.717,0.04,-0.04,0,Msini,G5,5733,,,0,1.94,,,0,1.27,,,0
HD 96700 b,HD 96700,1,3,Radial Velocity,2021,0.0777,0.0013,-0.0013,0,0.028,0.00126,-0.00126,0,Msini,G0 V,5845,13,-13,0,1.16,0.04,-0.04,0,0.89,0.01,-0.01,0
HD 96700 c,HD 96700,1,3,Radial Velocity,2021,0.141,0.002,-0.002,0,0.01101,0.00126,-0.00126,0,Msini,G0 V,5845,13,-13,0,1.16,0.04,-0.04,0,0.89,0.01,-0.01,0
HD 96700 d,HD 96700,1,3,Radial Velocity,2021,0.424,0.007,-0.007,0,0.03996,0.00315,-0.00315,0,Msini,G0 V,5845,13,-13,0,1.16,0.04,-0.04,0,0.89,0.01,-0.01,0
HD 96992 b,HD 96992,1,1,Radial Velocity,2021,1.24,0.05,-0.05,0,1.14,0.31,-0.31,0,Msini,K0,4725,10,-10,0,7.43,1.1,-1.1,0,0.96,0.09,-0.09,0
HD 97048 b,HD 97048,1,1,Disk Kinematics,2019,130,,,0,2.5,0.5,-0.5,0,Mass,Be9.5/AO,10000,,,0,2.25,,,0,2.4,,,0
HD 97658 b,HD 97658,1,1,Radial Velocity,2010,0.0805,0.001,-0.0011,0,0.02611,0.00346,-0.00346,0,Mass,K1 V,5212,43,-43,0,0.73,0.01,-0.01,0,0.85,0.08,-0.08,0
HD 98219 b,HD 98219,1,1,Radial Velocity,2011,1.26,0.12,-0.12,0,1.964,0.099,-0.099,0,Msini,K0 III/IV,4925,,,0,4.6,,,0,1.41,,,0
HD 98649 b,HD 98649,1,1,Radial Velocity,2012,6.57,0.31,-0.23,0,6.79,0.53,-0.31,0,Msini,G3/G5 V,5790,58,-58,0,1.01,0.02,-0.02,0,1.03,0.06,-0.06,0
HD 98736 b,HD 98736,2,1,Radial Velocity,2018,1.864,0.091,-0.091,0,2.33,0.78,-0.78,0,Msini,G5,5271,,,0,0.93,0.04,-0.04,0,0.92,0.13,-0.13,0
HD 99109 b,HD 99109,1,1,Radial Velocity,2005,1.11,0.02,-0.02,0,0.44,0.08,-0.08,0,Msini,G8/K0 IV,5282,32,-32,0,0.98,0.02,-0.02,0,0.76,0.1,-0.1,0
HD 99492 b,HD 99492,2,1,Radial Velocity,2004,0.12,0,0,0,0.07,0.05,-0.05,0,Msini,K2 V,4815,185,-185,0,0.83,0.07,-0.07,0,0.48,0.51,-0.51,0
HD 99706 b,HD 99706,1,2,Radial Velocity,2011,1.98,0.14,-0.14,0,1.23,0.19,-0.19,0,Msini,K0,4862,,,0,5.52,,,0,1.46,,,0
HD 99706 c,HD 99706,1,2,Radial Velocity,2018,,,,,5.69,1.43,-0.96,0,Msini,K0,4862,25,-25,0,5.4,0.1,-0.1,0,1.72,0.12,-0.12,0
HIP 105854 b,HIP 105854,1,1,Radial Velocity,2014,0.81,0.03,-0.03,0,8.2,0.2,-0.2,0,Msini,K2 III,4780,100,-100,0,10.31,0.55,-0.58,0,2.1,0.1,-0.1,0
HIP 107772 b,HIP 107772,1,1,Radial Velocity,2020,0.243,0.011,-0.011,0,0.04059,0.00944,-0.00944,0,Msini,M0 V,4006,98,-153.81,0,0.51,0.03,-0.05,0,0.63,0.08,-0.08,0
HIP 107773 b,HIP 107773,1,1,Radial Velocity,2015,0.72,0.03,-0.03,0,1.98,0.21,-0.21,0,Msini,K1 III,4945,100,-100,0,11.6,1.4,-1.4,0,2.42,0.27,-0.27,0
HIP 109384 b,HIP 109384,1,1,Radial Velocity,2016,1.134,0.029,-0.029,0,1.56,0.08,-0.08,0,Msini,G5,5180,45,-45,0,0.83,0.02,-0.01,0,0.78,0.06,-0.06,0
HIP 109600 b,HIP 109600,2,1,Radial Velocity,2016,0.706,0.016,-0.016,0,2.68,0.12,-0.12,0,Msini,G5,5530,35,-35,0,0.97,0.03,-0.03,0,0.87,0.06,-0.06,0
HIP 114933 b,HIP 114933,1,1,Radial Velocity,2021,2.84,0.09,-0.09,0,1.94,0.2,-0.2,0,Msini,K0 III,4823,59,-59,0,5.27,0.05,-0.05,0,1.39,0.09,-0.09,0
HIP 116454 b,HIP 116454,2,1,Transit,2014,0.0906,0.0049,-0.0049,0,0.04,0.01,-0.01,0,Mass,K1,5089,50,-50,0,0.72,0.02,-0.02,0,0.81,0.11,-0.11,0
HIP 12961 b,HIP 12961,1,1,Radial Velocity,2010,0.25,0.01,-0.01,0,0.36,0.07,-0.07,0,Msini,M0,3901,175,-175,0,0.65,0.06,-0.06,0,0.69,0.19,-0.19,0
HIP 14810 b,HIP 14810,1,3,Radial Velocity,2005,0.0696,0.0044,-0.0044,0,3.9,0.49,-0.49,0,Msini,G5,5544,,,0,1.07,0.08,-0.08,0,1.01,0.19,-0.19,0
HIP 14810 c,HIP 14810,1,3,Radial Velocity,2006,0.549,0.034,-0.034,0,1.31,0.18,-0.18,0,Msini,G5,5544,,,0,1.07,0.08,-0.08,0,1.01,0.19,-0.19,0
HIP 14810 d,HIP 14810,1,3,Radial Velocity,2009,1.94,0.13,-0.13,0,0.59,0.1,-0.1,0,Msini,G5,5544,,,0,1.07,0.08,-0.08,0,1.01,0.19,-0.19,0
HIP 35173 b,HIP 35173,1,1,Radial Velocity,2019,0.217,0.004,-0.004,0,0.03996,0.0085,-0.0085,0,Msini,K2 V,4881,55,-81,0,0.77,0.03,-0.02,0,0.79,0.05,-0.05,0
HIP 38594 b,HIP 38594,1,2,Radial Velocity,2020,0.256,0.003,-0.003,0,0.02549,0.00535,-0.00535,0,Msini,M0,4086.3,168.9,-97.3,0,0.63,0.02,-0.02,0,0.61,0.02,-0.02,0
HIP 38594 c,HIP 38594,1,2,Radial Velocity,2020,3.805,0.172,-0.172,0,0.15228,0.02328,-0.02328,0,Msini,M0,4086.3,168.9,-97.3,0,0.63,0.02,-0.02,0,0.61,0.02,-0.02,0
HIP 41378 b,HIP 41378,1,5,Transit,2016,,,,,0.0275,,,0,M-R relationship,F6,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0
HIP 41378 c,HIP 41378,1,5,Transit,2016,,,,,0.0223,,,0,M-R relationship,F6,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0
HIP 41378 d,HIP 41378,1,5,Transit,2016,,,,,0.0467,,,0,M-R relationship,F6,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0
HIP 41378 e,HIP 41378,1,5,Transit,2016,,,,,0.0819,,,0,M-R relationship,F6,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0
HIP 41378 f,HIP 41378,1,5,Transit,2016,,,,,0.233,,,0,M-R relationship,F6,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0
HIP 4845 b,HIP 4845,1,1,Radial Velocity,2020,0.176,0.007,-0.007,0,0.04531,0.00944,-0.00944,0,Msini,K7V,4010,123.37,-134.13,0,0.6,0.03,-0.07,0,0.62,0.04,-0.04,0
HIP 48714 b,HIP 48714,1,1,Radial Velocity,2020,0.112,0.001,-0.001,0,0.07205,0.00881,-0.00881,0,Msini,M0.5 Ve,4015.5,166.5,-128.4,0,0.6,0.02,-0.02,0,0.58,0.02,-0.02,0
HIP 5158 b,HIP 5158,1,2,Radial Velocity,2009,0.89,,,0,1.42,,,0,Msini,,4962,89,-89,0,0.75,0.06,-0.06,0,0.78,0.02,-0.02,0
HIP 5158 c,HIP 5158,1,2,Radial Velocity,2011,7.7,1.88,-1.88,0,15.04,10.55,-10.55,0,Msini,,4813,207.69,-128.99,0,0.75,0.05,-0.09,0,0.78,0.12,-0.07,0
HIP 54373 b,HIP 54373,1,2,Radial Velocity,2019,0.063,0.001,-0.001,0,0.02712,0.00579,-0.00579,0,Msini,K5 V,4021,226,-146,0,0.56,0.02,-0.02,0,0.57,0.03,-0.03,0
HIP 54373 c,HIP 54373,1,2,Radial Velocity,2019,0.099,0.002,-0.002,0,0.03914,0.00664,-0.00664,0,Msini,K5 V,4021,226,-146,0,0.56,0.02,-0.02,0,0.57,0.03,-0.03,0
HIP 56640 b,HIP 56640,1,1,Radial Velocity,2021,3.73,0.1,-0.1,0,3.67,0.19,-0.19,0,Msini,K1 III,4769,55,-55,0,4.93,0.05,-0.05,0,1.04,0.07,-0.06,0
HIP 57274 b,HIP 57274,1,3,Radial Velocity,2011,0.07,0,0,0,0.02,0.01,-0.01,0,Msini,K4 V,4510,136,-136,0,0.78,0.05,-0.05,0,0.29,0.3,-0.3,0
HIP 57274 c,HIP 57274,1,3,Radial Velocity,2011,0.178,,,0,0.40902,0.00944,-0.00944,0,Msini,K4 V,4640,100,-100,0,0.68,0.03,-0.03,0,0.73,0.05,-0.05,0
HIP 57274 d,HIP 57274,1,3,Radial Velocity,2011,1.01,,,0,0.5267,0.03,-0.03,0,Msini,K4 V,4640,100,-100,0,0.68,0.03,-0.03,0,0.73,0.05,-0.05,0
HIP 63242 b,HIP 63242,1,1,Radial Velocity,2013,0.565,,,0,9.18,,,0,Msini,G8,4830,100,-100,0,10.28,0.18,-0.11,0,1.54,0.05,-0.05,0
HIP 65 A b,HIP 65 A,2,1,Transit,2020,0.01782,0.0002,-0.00021,0,3.213,0.078,-0.078,0,Mass,K4 V,4590,49,-49,0,0.72,0.01,-0.01,0,0.78,0.03,-0.03,0
HIP 65407 b,HIP 65407,1,2,Radial Velocity,2016,0.177,0.005,-0.005,0,0.428,0.032,-0.032,0,Msini,K0,5460,50,-50,0,0.95,0.01,-0.03,0,0.93,0.07,-0.07,0
HIP 65407 c,HIP 65407,1,2,Radial Velocity,2016,0.316,0.008,-0.008,0,0.784,0.054,-0.054,0,Msini,K0,5460,50,-50,0,0.95,0.01,-0.03,0,0.93,0.07,-0.07,0
HIP 65426 b,HIP 65426,1,1,Imaging,2017,92,,,0,9,3,-3,0,Mass,A2 V,8840,200,-200,0,1.77,0.05,-0.05,0,1.96,0.04,-0.04,0
HIP 65891 b,HIP 65891,1,1,Radial Velocity,2015,2.81,0.09,-0.09,0,6,0.49,-0.49,0,Msini,K0 III,5000,100,-100,0,8.93,1.02,-1.02,0,2.5,0.21,-0.21,0
HIP 67522 b,HIP 67522,1,1,Transit,2020,,,,,0.228,,,0,M-R relationship,G1 V,5675,75,-75,0,1.38,0.06,-0.06,0,1.22,0.05,-0.05,0
HIP 67537 b,HIP 67537,1,1,Radial Velocity,2017,4.91,0.14,-0.13,0,11.1,0.4,-1.1,0,Msini,K1 III,4985,100,-100,0,8.69,0.88,-0.88,0,2.41,0.16,-0.16,0
HIP 67851 b,HIP 67851,1,2,Radial Velocity,2015,0.46,0.02,-0.02,0,1.38,0.15,-0.15,0,Msini,K0 III,4890,100,-100,0,5.92,0.44,-0.44,0,1.63,0.22,-0.22,0
HIP 67851 c,HIP 67851,1,2,Radial Velocity,2015,3.82,0.23,-0.23,0,6.3,,,0,Mass,K0 III,4890,100,-100,0,5.92,0.44,-0.44,0,1.63,0.22,-0.22,0
HIP 70849 b,HIP 70849,2,1,Radial Velocity,2009,20.25,15.75,-15.75,0,9,6,-6,0,Msini,K7 V,4105,130,-130,0,0.63,0.02,-0.02,0,0.63,0.03,-0.03,0
HIP 71135 b,HIP 71135,1,1,Radial Velocity,2019,0.335,0.007,-0.007,0,0.05915,0.0129,-0.0129,0,Msini,M1,4146,107,-110,0,0.68,0.04,-0.03,0,0.66,0.04,-0.04,0
HIP 74890 b,HIP 74890,1,1,Radial Velocity,2016,2.1,0.09,-0.09,0,2.4,0.3,-0.3,0,Msini,K1 III,4850,100,-100,0,5.77,0.53,-0.53,0,1.74,0.21,-0.21,0
HIP 75092 b,HIP 75092,1,1,Radial Velocity,2021,2.02,0.02,-0.02,0,1.79,0.15,-0.15,0,Msini,K0 III,4891,50,-50,0,4.53,0.05,-0.05,0,1.28,0.11,-0.1,0
HIP 78530 b,HIP 78530,1,1,Imaging,2010,740,60,-60,0,23,1,-1,0,Mass,B9 V,10500,,,0,2.11,0.07,-0.06,0,2.5,,,0
HIP 79098 AB b,HIP 79098 AB,2,1,Imaging,2019,345,6,-6,0,20.5,4.5,-4.5,0,Mass,B9 V,9193.75,61.25,-93.42,0,,,,,3.75,1.25,-1.25,0
HIP 79431 b,HIP 79431,1,1,Radial Velocity,2009,0.36,,,0,2.1,,,0,Msini,M3 V,3191,1000,-1000,0,0.48,0.01,-0.01,0,0.49,0.05,-0.05,0
HIP 8541 b,HIP 8541,2,1,Radial Velocity,2016,2.8,0.25,-0.25,0,5.5,1,-1,0,Msini,K2 III/IV,4670,100,-100,0,7.83,1.02,-1.02,0,1.17,0.28,-0.28,0
HIP 90988 b,HIP 90988,1,1,Radial Velocity,2021,1.26,0.02,-0.02,0,1.96,0.11,-0.11,0,Msini,K1 III,4883,57,-57,0,3.94,0.04,-0.04,0,1.3,0.08,-0.08,0
HIP 91258 b,HIP 91258,1,1,Radial Velocity,2013,0.06,0,0,0,1.09,0.21,-0.21,0,Msini,G5 V,5519,70,-70,0,0.89,0.03,-0.03,0,0.97,0.28,-0.28,0
HIP 97166 b,HIP 97166,1,2,Transit,2021,0.089,0.001,-0.001,0,0.06293,0.00472,-0.00472,0,Mass,K0 V,5198,100,-100,0,0.84,0.04,-0.04,0,0.9,0.05,-0.05,0
HIP 97166 c,HIP 97166,1,2,Radial Velocity,2021,0.124,0.002,-0.002,0,0.03115,0.00566,-0.00566,0,Msini,K0 V,5198,100,-100,0,0.84,0.04,-0.04,0,0.9,0.05,-0.05,0
HIP 97233 b,HIP 97233,1,1,Radial Velocity,2014,2.55,0.05,-0.05,0,20,0.4,-0.4,0,Msini,K0,5020,100,-100,0,5.34,0.55,-0.55,0,1.93,0.11,-0.11,0
HN Peg b,HN Peg,1,1,Imaging,2006,773,13,-13,0,21.9987,9.42803,-9.42803,0,Mass,G0 V,6186,14,-7,0,1.01,0.03,-0.03,0,1.08,0.14,-0.14,0
HR 2562 b,HR 2562,1,1,Imaging,2016,20.3,0.3,-0.3,0,30,15,-15,0,Mass,F5 V,6785,29,-27,0,1.47,0.03,-0.04,0,1.3,,,0
HR 5183 b,HR 5183,2,1,Radial Velocity,2019,18,6,-4,0,3.23,0.15,-0.14,0,Msini,G0 V,5794,100,-100,0,1.53,0.06,-0.05,0,1.07,0.04,-0.04,0
